2026-07-18T20:31:43+00:00 tsp supervisor launch attempt 1
tsp_external tsplib/d198 train seed=3: SOLVED 0.943060s
tsp_external tsplib/d198 train seed=4: SOLVED 0.582685s
tsp_external tsplib/d198 train seed=5: SOLVED 2.455854s
tsp_external tsplib/d198 train seed=6: SOLVED 1.417682s
tsp_external tsplib/d198 train seed=7: SOLVED 0.694465s
tsp_external tsplib/dantzig42 train seed=1: SOLVED 0.016708s
tsp_external tsplib/dantzig42 train seed=2: SOLVED 0.013126s
tsp_external tsplib/dantzig42 train seed=3: SOLVED 0.013522s
tsp_external tsplib/dantzig42 train seed=4: SOLVED 0.012210s
tsp_external tsplib/dantzig42 train seed=5: SOLVED 0.013110s
tsp_external tsplib/dantzig42 train seed=6: SOLVED 0.013613s
tsp_external tsplib/dantzig42 train seed=7: SOLVED 0.012319s
tsp_external tsplib/eil101 train seed=1: SOLVED 0.050291s
tsp_external tsplib/eil101 train seed=2: SOLVED 0.050271s
tsp_external tsplib/eil101 train seed=3: SOLVED 0.048557s
tsp_external tsplib/eil101 train seed=4: SOLVED 0.051880s
tsp_external tsplib/eil101 train seed=5: SOLVED 0.053774s
tsp_external tsplib/eil101 train seed=6: SOLVED 0.036735s
tsp_external tsplib/eil101 train seed=7: SOLVED 0.072060s
tsp_external tsplib/eil51 train seed=1: SOLVED 0.018381s
tsp_external tsplib/eil51 train seed=2: SOLVED 0.021141s
tsp_external tsplib/eil51 train seed=3: SOLVED 0.021553s
tsp_external tsplib/eil51 train seed=4: SOLVED 0.023729s
tsp_external tsplib/eil51 train seed=5: SOLVED 0.018509s
tsp_external tsplib/eil51 train seed=6: SOLVED 0.021499s
tsp_external tsplib/eil51 train seed=7: SOLVED 0.021572s
tsp_external tsplib/eil76 train seed=1: SOLVED 0.020419s
tsp_external tsplib/eil76 train seed=2: SOLVED 0.018942s
tsp_external tsplib/eil76 train seed=3: SOLVED 0.020949s
tsp_external tsplib/eil76 train seed=4: SOLVED 0.020360s
tsp_external tsplib/eil76 train seed=5: SOLVED 0.021783s
tsp_external tsplib/eil76 train seed=6: SOLVED 0.019997s
tsp_external tsplib/eil76 train seed=7: SOLVED 0.022574s
tsp_external tsplib/fri26 train seed=1: SOLVED 0.006789s
tsp_external tsplib/fri26 train seed=2: SOLVED 0.006157s
tsp_external tsplib/fri26 train seed=3: SOLVED 0.006056s
tsp_external tsplib/fri26 train seed=4: SOLVED 0.006239s
tsp_external tsplib/fri26 train seed=5: SOLVED 0.006157s
tsp_external tsplib/fri26 train seed=6: SOLVED 0.006757s
tsp_external tsplib/fri26 train seed=7: SOLVED 0.007180s
tsp_external tsplib/gil262 train seed=1: SOLVED 0.743997s
tsp_external tsplib/gil262 train seed=2: SOLVED 2.146757s
tsp_external tsplib/gil262 train seed=3: SOLVED 1.606282s
tsp_external tsplib/gil262 train seed=4: SOLVED 0.842291s
tsp_external tsplib/gil262 train seed=5: SOLVED 1.538334s
tsp_external tsplib/gil262 train seed=6: SOLVED 0.705110s
tsp_external tsplib/gil262 train seed=7: SOLVED 1.186610s
tsp_external tsplib/gr120 train seed=1: SOLVED 0.096863s
tsp_external tsplib/gr120 train seed=2: SOLVED 0.091047s
tsp_external tsplib/gr120 train seed=3: SOLVED 0.089896s
tsp_external tsplib/gr120 train seed=4: SOLVED 0.104576s
tsp_external tsplib/gr120 train seed=5: SOLVED 0.081693s
tsp_external tsplib/gr120 train seed=6: SOLVED 0.081688s
